Organisation Name,Town/City,County,Type & Rating,Route
A & H FOOD DISTRIBUTION LIMITED,Croydon,,Worker (A rating),Skilled Worker
A&J Pharma Ltd,Burnham,"Bucks,",Worker (A rating),Skilled Worker
AA Beverages Ltd,Crawley,,Worker (A rating),Skilled Worker
Adaab Knitwear Ltd,Oldham,,Worker (A rating),Skilled Worker
AHAAR INDIAN STREET FOOD LTD,Manchester,,Worker (A rating),Skilled Worker
Ainsworths,Caterham,,Worker (A rating),Skilled Worker
Apprintable Limited,London,,Worker (A rating),Skilled Worker
ASA Landscape Architects Ltd,Abingdon,Oxfordshire,Worker (A rating),Skilled Worker
AVA CARE SERVICES LTD,Northampton,,Worker (A rating),Skilled Worker
AXIM CAPITAL LTD,London,,Worker (A rating),Skilled Worker
Balshaw's CE High School,Leyland,England,Worker (A rating),Skilled Worker
BG NICE FOOD LTD T/A GURKHA VILLAGE BAR & GRILL,Ormskirk,,Worker (A rating),Skilled Worker
BHANDAL BEERS LTD T/A THE NEW DUNCOW BAR & GRILL,Telford,,Worker (A rating),Skilled Worker
BLACKLIST LOUNGE LONDON LIMITED,London,,Worker (A rating),Skilled Worker
BRODY GEEPANA LTD,Morecambe,,Worker (A rating),Skilled Worker
Cambridge Street School,Batley,,Worker (A rating),Skilled Worker
CMOLDS LTD,London,,Worker (A rating),Skilled Worker
Community Care Worker Ltd,Stokeontrent,Hanley,Worker (A rating),Skilled Worker
CPB Educational Services Ltd,London,,Worker (A rating),Skilled Worker
Cristal Pharmacy Limited T/A Cristals Chemist,Cheshunt,,Worker (A rating),Skilled Worker
Deansdental Care Ltd,Brighton,East Sussex,Worker (A rating),Skilled Worker
Demand-Genius Limited,London,,Worker (A rating),Skilled Worker
DEZEGA SAFETY SOLUTIONS LTD,London,,Worker (A rating),Skilled Worker
Didar Transport Limited,Slough,,Worker (A rating),Skilled Worker
Drayton Plastics Ltd,West Drayton,,Worker (A rating),Skilled Worker
DREAM ASSET LIMITED,London,,Worker (A rating),Skilled Worker
Dsquare Childcare Limited,London,,Worker (A rating),Skilled Worker
DUNDEE COURT DENTAL CENTRE LIMITED T/A SILVEROAK DENTISTRY,Kings Lynn,,Worker (A rating),Skilled Worker
EMC Trailers Ltd,Magherafelt,County Londonderry,Worker (A rating),Skilled Worker
ERG INTERNATIONAL UK LTD,London,,Worker (A rating),Skilled Worker
FOOD PROSSER LTD,London,,Worker (A rating),Skilled Worker
Freight Line Services Ltd,Southall,Middlesex,Worker (A rating),Skilled Worker
FundOnion Limited,London,,Worker (A rating),Skilled Worker
Funk Enterprise Ltd T/A Funk Training Club,London,,Worker (A rating),Skilled Worker
GE Aviation Systems Limited,Cheltenham,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Good Food Asian Supermarket Ltd,Edinburgh,,Worker (A rating),Skilled Worker
Green Lane Counselling and Psychotherapy Ltd,Derby,Derbyshire,Worker (A rating),Skilled Worker
GRJ Contracting Ltd,Melton Mowbray,,Worker (A rating),Skilled Worker
Hamble Healthcare Ltd T/A Waterside House,Southampton,,Worker (A rating),Skilled Worker
Hawks Partners Limited,Surrey,,Worker (A rating),Skilled Worker
Haymarket Dental Care,Edinburgh,,Worker (A rating),Skilled Worker
Hivebyte Technology Ltd,Manchester,,Worker (A rating),Skilled Worker
HNZ ENTERPRISE LTD,Arbroath,,Worker (A rating),Skilled Worker
Ideaworks (London) Ltd,Faversham,,Worker (A rating),Skilled Worker
Innovatus Telecom Services Limited,Wellesbourne,Warwickshire,Worker (A rating),Skilled Worker
IQTECH Ltd,Romford,Essex,Worker (A rating),Skilled Worker
Jeevan Sweets Limited,Bristol,,Worker (A rating),Skilled Worker
Join Ploy Ltd t/a Ploy,London,,Worker (A rating),Skilled Worker
Karno Sound Limited,London,,Worker (A rating),Skilled Worker
Kingfisher Media Ltd,Whitley Bay,,Worker (A rating),Skilled Worker
Kirkbie Kendal School,Kendal,Cumbria,Worker (A rating),Skilled Worker
KSMKGROUP LTD,Willenhall,,Worker (A rating),Skilled Worker
L&C Consulting International Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
L&C Consulting International Limited,London,,Worker (A rating),Skilled Worker
LANDMASS PROPERTIES LIMITED,London,,Worker (A rating),Skilled Worker
Liberty Legal Solicitors LLP,Ilford,,Worker (A rating),Skilled Worker
Lowman Foods Limited T/A Slab City,London,,Worker (A rating),Skilled Worker
M.A. BEGUM ENTERPRISE LTD T/A The Pavilion,Bolton,,Worker (A rating),Skilled Worker
McKinnon Harris UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
McKinnon Harris UK Ltd,London,,Worker (A rating),Skilled Worker
Mediaplus Group UK Limited,London,,Worker (A rating),Skilled Worker
MoDa's Touch Limited,London,,Worker (A rating),Skilled Worker
Mohammad Goli,Chelmsford,,Worker (A rating),Skilled Worker
MONEDHA ACCOUNTING LTD,London,Surrey,Worker (A rating),Skilled Worker
Mr Thavarajah Pakeerathan TA Moulsham Local,Chelmsford,Essex,Worker (A rating),Skilled Worker
MT TELECOMS LTD,London,,Worker (A rating),Skilled Worker
MY BEAUTY BASICS LTD,Hayes,,Worker (A rating),Skilled Worker
NEW YORK3RS LTD,Kent,,Worker (A rating),Skilled Worker
NOVA Wealth Limited,London,,Worker (A rating),Skilled Worker
Orion Education,Chislehurst,Kent,Worker (A rating),Skilled Worker
Orveon Global Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Orveon Global Ltd,London,,Worker (A rating),Skilled Worker
PAGET SINGER,Durham,,Worker (A rating),Skilled Worker
Plasman Laminate Products Ltd,Manchester,Cheshire,Worker (A rating),Skilled Worker
PURPLE STAR GX LTD,Gerrards Cross,,Worker (A rating),Skilled Worker
R.S. Aqua Limited,Farnahm,Surrey,Worker (A rating),Skilled Worker
REGAL TRIO LIMITED,London,,Worker (A rating),Skilled Worker
REVA PVT LTD,Bromsgrove,,Worker (A rating),Skilled Worker
S & S Green Grocers Limited T/A Holloway Meat and Grocery,Oxford,,Worker (A rating),Skilled Worker
SAMEDAY EXPRESS COURIERSUK LTD,Dartford,,Worker (A rating),Skilled Worker
Save My Exams Limited,London,,Worker (A rating),Skilled Worker
SELAH HOME CARE,Edinburgh,,Worker (A rating),Skilled Worker
SHOPYNS.COM LIMITED T/A SHOPYNS,London,,Worker (A rating),Skilled Worker
SMD Retail Stores Ltd,Aberlour,,Worker (A rating),Skilled Worker
SMS & Sons Retail (Newbury) Ltd,Bolton,,Worker (A rating),Skilled Worker
SRI KANTH & CO,Wembley,,Worker (A rating),Skilled Worker
Summit (City) Pub Company,London,,Worker (A rating),Skilled Worker
TAIWU CONSULTANCY LIMITED,London,England,Worker (A rating),Skilled Worker
TANESTAPLEFORD LIMITED,Cambridge,,Worker (A rating),Skilled Worker
Teamwork Global Ltd,London,,Worker (A rating),Skilled Worker
THE ARCADES FISH RESTAURANT LTD,Worthing,,Worker (A rating),Skilled Worker
The Northwood and Pinner Liberal Synagogue (The Ark Synagogue),Northwood,,Worker (A rating),Tier 2 Ministers of Religion
The Redeemed Christian Church of God - Winners' Way Loughton,Erith,,Temporary Worker (A rating),Charity Worker
Tigermilk London Limited,London,,Worker (A rating),Skilled Worker
Tiney Limited,London,,Worker (A rating),Skilled Worker
UNISEAS LIMITED,Brentford,,Worker (A rating),Skilled Worker
VERTERE LIMITED,London,,Worker (A rating),Skilled Worker
